customer,competitive prices,wide range of product choices,offers brands i want,speed of checkout or purchase,easy to return items,pleasant shopping experience,convenient locations,easy to use website,good customer service,friendliness of employees,helpful employees,honesty and trustworthiness,environmentally conscious,socially responsible,freshness of produce,quality of private label products,availability of local produce,availability of organic items,availability of healthier options
42,5,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,4,3,3
43,5,5,5,5,5,5,5,4,5,4,5,5,5,5,4,5,4,4,5
44,5,3,3,5,4,3,3,3,4,3,2,4,5,5,4,4,3,2,3
45,3,3,3,3,4,3,3,4,4,2,4,4,3,4,4,3,3,3,4
46,5,5,4,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
47,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
48,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5
49,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,4
50,3,3,3,3,3,3,4,4,2,3,2,5,5,5,2,3,4,4,4
51,4,4,2,1,2,1,2,2,1,1,1,2,1,1,3,3,3,3,3
52,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
53,3,4,5,4,5,3,4,5,4,3,5,5,4,4,3,4,4,3,3
54,5,5,4,2,4,2,5,3,2,2,3,3,3,3,2,3,2,3,4
55,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
56,4,4,3,3,5,4,3,4,3,3,3,4,3,4,3,3,3,3,3
57,4,5,3,1,5,3,5,3,3,3,3,3,3,3,3,3,3,3,3
58,2,3,4,4,4,4,4,3,4,3,2,2,4,4,3,3,4,3,3
59,5,4,4,5,3,3,3,4,3,2,2,2,2,2,3,3,1,5,5
60,4,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4
61,4,4,2,5,2,4,4,4,2,3,4,4,4,3,2,3,3,3,4
62,5,5,5,4,4,3,4,5,4,3,3,4,3,3,5,4,5,4,4
63,5,4,5,5,5,5,5,5,5,3,5,5,5,5,5,4,4,4,5
64,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
65,3,3,4,4,4,5,4,4,4,3,4,5,5,3,3,4,4,5,4
66,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
67,4,3,3,1,3,2,4,4,3,3,3,2,2,2,2,2,2,2,3
68,4,5,5,5,4,4,4,5,4,5,4,5,4,4,5,5,4,4,4
69,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
70,4,4,4,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4
71,4,5,4,4,4,4,4,4,4,5,5,3,4,5,5,4,4,5,4
72,4,4,4,4,3,3,3,4,4,4,3,4,4,4,3,3,3,4,4
73,4,4,4,5,5,4,4,3,4,4,3,4,4,5,5,5,5,4,4
74,5,3,5,3,4,4,5,4,3,3,3,4,3,5,4,1,3,2,4
75,4,3,5,3,3,4,4,5,3,4,3,3,5,3,3,5,4,4,4
76,4,4,4,4,4,4,5,4,4,4,4,3,4,3,5,5,5,5,5
77,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
78,2,3,2,3,3,2,2,2,2,3,2,3,2,3,2,1,1,1,1
79,5,5,5,5,5,5,5,5,1,1,1,5,5,5,5,5,5,5,5
80,5,5,5,4,5,4,4,4,4,3,3,4,3,3,5,5,3,3,2
81,5,5,5,4,5,4,5,5,4,3,3,4,3,3,5,5,5,5,4
82,5,4,4,4,4,5,4,5,5,4,4,4,4,5,5,4,5,4,5
83,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
84,4,4,5,4,4,5,5,4,5,4,5,4,5,4,5,5,5,5,5
85,5,4,4,2,4,3,5,3,4,2,2,4,4,3,4,3,4,3,3
86,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3
87,4,4,3,4,4,4,5,5,5,4,4,5,3,3,4,3,3,5,3
88,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5
89,5,5,5,2,5,5,5,5,5,5,4,5,4,5,5,5,5,3,5
90,4,5,4,5,4,4,5,4,4,5,4,5,4,4,4,4,4,4,4
91,4,5,4,4,4,3,5,4,3,3,3,3,3,3,4,4,4,4,4
92,5,3,3,4,5,3,4,5,4,4,4,4,4,3,3,4,3,4,4
93,3,3,2,3,3,2,4,3,2,2,2,2,2,2,1,2,1,1,2
94,4,5,5,4,3,4,4,4,3,3,5,4,4,4,4,3,5,4,4
95,4,4,4,3,4,2,5,3,3,3,3,2,2,1,2,4,4,4,4
96,4,3,4,1,3,2,4,2,2,2,2,1,1,1,4,2,3,3,2
97,5,5,5,5,5,5,5,5,4,3,3,5,3,3,5,5,5,5,5
98,3,3,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
99,4,4,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,2,3
100,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
