CustomerID,City,Zip Code,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Reason
9944-AEXBM,Casmalia,93429,34.866032,-120.536546,Male,No,No,No,32,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.65,2664.3,No,0,
9943-VSZUV,Alamo,94507,37.855717,-121.994813,Male,Yes,No,No,67,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,75.7,5060.85,No,0,
9940-RHLFB,Sunset Beach,90742,33.719221,-118.073596,Female,No,No,No,1,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.3,75.3,Yes,1,Competitor made better offer
9940-HPQPG,North Hollywood,91601,34.1692,-118.372498,Female,No,Yes,No,9,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.75,865.8,Yes,1,Extra data charges
9938-ZREHM,Oxnard,93033,34.156629,-119.117218,Female,No,Yes,No,37,Yes,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,72.1,2658.4,No,0,
9938-TKDGL,Llano,93544,34.500091,-117.765862,Male,No,Yes,Yes,68,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,99.55,6668,No,0,
9938-EKRGF,Lewiston,96052,40.704293,-122.803899,Female,No,No,No,15,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,84.45,1287.85,No,0,
9933-QRGTX,Windsor,95492,38.527297,-122.810044,Female,No,Yes,No,60,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,97.2,5611.75,No,0,
9931-KGHOA,Santa Barbara,93103,34.438581,-119.685368,Female,No,Yes,No,46,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),55,2473.95,No,0,
9931-DCEZH,Roseville,95747,38.784329,-121.373245,Male,No,No,Yes,28,Yes,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),54.4,1516.6,No,0,
9928-BZVLZ,Sunset Beach,90742,33.719221,-118.073596,Female,No,No,No,12,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Mailed check,49.85,552.1,No,0,
9927-DSWDF,Palos Verdes Peninsula,90274,33.788208,-118.404955,Male,No,Yes,No,22,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.6,2180.55,No,0,
9926-PJHDQ,Kingsburg,93631,36.478239,-119.52137,Female,No,Yes,No,72,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,No,0,
9924-JPRMC,Lockeford,95237,38.166791,-121.14207,Male,No,No,No,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,118.2,8547.15,No,0,
9921-ZVRHG,Traver,93673,36.456091,-119.486225,Female,No,No,No,14,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,80.45,1072,Yes,1,Service dissatisfaction
9921-QFQUL,Garden Valley,95633,38.852544,-120.837669,Female,No,Yes,No,23,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,90.15,2044.95,No,0,
9921-EZKBY,Tecopa,92389,35.824572,-116.274755,Male,No,No,Yes,33,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),95.3,3275.15,No,0,
9919-YLNNG,Malibu,90263,34.037037,-118.705803,Female,No,No,No,42,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,
9919-KNPOO,La Mirada,90638,33.902045,-118.008961,Female,No,Yes,No,21,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,1948.35,No,0,
9919-FZDED,Yucca Valley,92284,34.159534,-116.425984,Male,Yes,Yes,No,72,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),84.1,5981.65,No,0,
9917-KWRBE,Anaheim,92808,33.850452,-117.726668,Female,No,Yes,No,41,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),78.35,3211.2,No,0,
9912-OMZDS,Playa Del Rey,90293,33.947305,-118.439841,Female,No,Yes,Yes,59,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,106.15,6256.2,No,0,
9912-GVSEQ,Napa,94558,38.489789,-122.27011,Female,Yes,Yes,No,26,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,93.85,2381.55,Yes,1,Network reliability
9909-IDLEK,Malibu,90265,34.074572,-118.831181,Male,No,Yes,Yes,20,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Mailed check,96.8,1826.7,No,0,
9909-DFRJA,Goodyears Bar,95944,39.564113,-120.868836,Female,No,No,No,26,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),95.85,2475.35,No,0,
9907-SWKKF,Twain,95984,40.022184,-121.062384,Female,Yes,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.05,25.05,Yes,1,Competitor offered higher download speeds
9906-NHHVC,Macdoel,96058,41.769709,-121.92063,Female,Yes,No,No,65,No,DSL,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),53.5,3517.9,No,0,
9904-EHEVJ,Bethel Island,94511,38.050558,-121.646924,Female,Yes,Yes,Yes,32,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.35,2896.55,No,0,
9903-LYSAB,Studio City,91604,34.139082,-118.39275,Male,No,Yes,No,18,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.15,1305.95,No,0,
9898-KZQDZ,Lee Vining,93541,37.890145,-119.184087,Female,Yes,Yes,No,40,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),94.55,3640.45,Yes,1,Competitor offered higher download speeds
9897-KXHCM,Modesto,95357,37.670526,-120.877572,Female,No,Yes,No,3,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.3,250.05,Yes,1,Competitor offered higher download speeds
9896-UYMIE,Valley Ford,94972,38.339996,-122.935056,Male,No,No,No,66,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),114.3,7383.7,No,0,
9895-VFOXH,Scotia,95565,40.440636,-124.098739,Female,No,No,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.4,24.4,No,0,
9894-QMIMJ,North Hollywood,91602,34.15136,-118.364786,Female,No,No,No,23,Yes,DSL,No,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),55.8,1327.85,No,0,
9894-EZEWG,Walnut Grove,95690,38.240419,-121.587535,Female,No,No,No,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.3,74.3,Yes,1,Poor expertise of phone support
9889-TMAHG,Fremont,94539,37.516791,-121.899117,Male,Yes,No,No,8,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,Yes,1,Competitor had better devices
9888-ZCUMM,Los Angeles,90018,34.028735,-118.317236,Male,No,Yes,Yes,64,No,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),60.05,3845.45,No,0,
9885-MFVSU,Poway,92064,32.984395,-117.013454,Female,No,Yes,No,35,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),46.35,1662.05,No,0,
9885-CSMWE,Los Angeles,90007,34.027337,-118.28515,Female,Yes,No,No,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.45,78.45,Yes,1,Product dissatisfaction
9885-AIBVB,Newcastle,95658,38.883224,-121.15918,Male,No,Yes,No,29,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,85.8,2440.25,No,0,
9881-VCZEP,San Jose,95126,37.327069,-121.916819,Female,No,Yes,No,25,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,54.1,1373,No,0,
9880-TDQAC,El Cajon,92021,32.832706,-116.873258,Female,No,Yes,No,72,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,60,4264,No,0,
9878-TNQGW,Davenport,95017,37.114335,-122.237162,Male,No,No,No,2,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.95,171.15,Yes,1,Competitor made better offer
9874-QLCLH,Northridge,91324,34.238208,-118.55029,Female,No,Yes,No,17,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.2,1743.5,Yes,1,Competitor offered more data
9873-MNDKV,San Gregorio,94074,37.331762,-122.341444,Female,No,No,No,11,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.65,472.25,No,0,
9871-ELEYA,Del Rey,93616,36.657462,-119.595293,Female,No,No,No,34,Yes,DSL,Yes,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),67.65,2339.3,No,0,
9867-XOBQA,Pasadena,91105,34.13946,-118.166649,Female,No,No,Yes,21,No,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Mailed check,53.15,1183.2,No,0,
9866-QEVEE,Modesto,95356,37.716186,-121.025836,Male,No,No,No,19,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),86,1532.45,Yes,1,Competitor offered higher download speeds
9866-OCCKE,San Diego,92114,32.707892,-117.05512,Female,Yes,Yes,No,72,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,109.75,8075.35,No,0,
9863-JZAIC,Long Beach,90807,33.830099,-118.182239,Male,No,No,No,35,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,55,2010.55,Yes,1,Don't know
9862-KJTYK,Newport Beach,92663,33.62251,-117.927024,Male,No,No,Yes,19,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),25.35,566.1,No,0,
9861-PDSZP,Delano,93215,35.772244,-119.209689,Female,No,No,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),108.05,7806.6,No,0,
9853-JFZDU,Gold Run,95717,39.170376,-120.838404,Female,No,Yes,No,35,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,56.85,1861.1,No,0,
9851-QXEEQ,Bangor,95914,39.396585,-121.38029,Male,No,No,No,41,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.7,4346.4,Yes,1,Competitor offered more data
9851-KIELU,Loma Mar,94021,37.266388,-122.26308,Male,No,No,No,10,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,110.1,1043.3,Yes,1,Competitor made better offer
9850-OWRHQ,Torrance,90502,33.833181,-118.292062,Female,No,Yes,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.1,228,Yes,1,Lack of self-service on Website
9848-JQJTX,Venice,90291,33.991782,-118.479229,Male,No,No,No,72,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,
9846-GKXAS,Burlingame,94010,37.57028,-122.365778,Female,No,No,No,9,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),90.8,809.75,Yes,1,Attitude of support person
9845-PEEKO,Brookdale,95007,37.106902,-122.100006,Female,Yes,No,No,59,Yes,Fiber optic,No,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),79.2,4590.35,No,0,
9844-FELAJ,Sacramento,95833,38.619049,-121.517552,Female,Yes,Yes,Yes,70,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,107.9,7475.85,No,0,
9842-EFSYY,Markleeville,96120,38.735789,-119.85798,Female,No,No,Yes,4,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,57.2,223.75,No,0,
9840-EFJQB,Sylmar,91342,34.321621,-118.399841,Female,No,No,No,1,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,74.35,74.35,No,0,
9840-DVNDC,Lancaster,93536,34.741406,-118.38111,Male,No,No,No,6,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),80.5,463.05,Yes,1,Attitude of support person
9839-ETQOE,Vista,92083,33.17494,-117.242761,Male,No,No,Yes,43,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,40.45,1912.85,No,0,
9837-BMCLM,Stockton,95202,37.959706,-121.287669,Male,No,No,No,3,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.5,242.05,Yes,1,Long distance charges
9835-ZIITK,Campbell,95008,37.279689,-121.954567,Male,Yes,Yes,No,66,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,110.85,7491.75,Yes,1,Competitor made better offer
9833-TGFHX,San Diego,92109,32.787836,-117.232376,Male,No,Yes,No,42,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,97.1,4016.75,No,0,
9831-BPFRI,Ferndale,95536,40.4785,-124.301372,Female,No,Yes,No,39,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,89.55,3474.45,Yes,1,Poor expertise of online support
9830-ECLEN,Winton,95388,37.421299,-120.599587,Male,No,Yes,Yes,58,No,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,50,2919.85,No,0,
9828-QHFBK,Montgomery Creek,96065,40.877552,-121.885884,Male,No,No,No,24,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,51.15,1275.7,No,0,
9828-AOQLM,San Marcos,92069,33.162624,-117.170863,Female,No,Yes,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.7,45.7,Yes,1,Competitor offered higher download speeds
9825-YCXWZ,Loma Mar,94021,37.266388,-122.26308,Female,Yes,No,No,41,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),101.1,4016.2,No,0,
9824-BEMCV,Modesto,95350,37.671806,-121.007575,Male,No,Yes,No,17,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69,1149.65,Yes,1,Competitor offered higher download speeds
9823-EALYC,Bakersfield,93301,35.383937,-119.020428,Male,No,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),80.85,5727.45,No,0,
9822-WMWVG,Grand Terrace,92313,34.029175,-117.307211,Female,No,No,No,41,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,106.5,4282.4,No,0,
9822-OAOVB,Santa Maria,93455,34.818227,-120.418784,Female,No,No,No,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,55.45,55.45,No,0,
9822-BIIGN,Los Altos,94024,37.352911,-122.093002,Male,No,Yes,Yes,53,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.85,3827.9,No,0,
9821-POOTN,Fresno,93711,36.833002,-119.82947,Male,No,Yes,No,35,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.2,2576.2,Yes,1,Price too high
9821-BESNZ,Northridge,91325,34.236683,-118.517588,Male,No,No,No,66,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,104.25,6860.6,No,0,
9820-RMCQV,San Marino,91108,34.122671,-118.112911,Female,No,No,No,11,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.55,501,Yes,1,Competitor made better offer
9819-FBNSV,El Cajon,92019,32.785165,-116.862648,Male,Yes,Yes,No,37,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),72.25,2575.45,No,0,
9812-GHVRI,Clements,95227,38.227285,-121.02789,Female,No,No,No,40,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),83.85,3532.25,No,0,
9809-IMGCQ,Canyon Dam,95923,40.171312,-121.120605,Male,Yes,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,Yes,1,Competitor made better offer
9804-ICWBG,Pacific Palisades,90272,34.079449,-118.548306,Male,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.9,69.9,Yes,1,Attitude of support person
9803-FTJCG,Playa Del Rey,90293,33.947305,-118.439841,Male,No,Yes,No,71,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,
9802-CAQUT,Coarsegold,93614,37.212191,-119.749323,Female,No,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),109.55,7887.25,No,0,
9801-GDWGV,Onyx,93255,35.676978,-118.101378,Female,No,No,No,39,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,103.45,3994.45,Yes,1,Attitude of service provider
9800-ONTFE,Brooks,95606,38.809804,-122.241383,Female,No,Yes,Yes,22,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.8,1615.1,No,0,
9799-CAYJJ,West Hills,91307,34.199787,-118.68493,Female,Yes,Yes,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.3,153.8,No,0,
9798-DRYDS,Huntington Beach,92648,33.679659,-118.016195,Female,No,Yes,No,17,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,61.95,1070.7,No,0,
9796-MVYXX,Weldon,93283,35.55647,-118.244914,Female,Yes,No,No,14,No,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,39.7,692.35,No,0,
9796-BPKIW,Redwood City,94063,37.499411,-122.196318,Male,Yes,No,No,8,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.95,562.7,No,0,
9795-VOWON,Los Angeles,90016,34.028331,-118.354338,Male,No,No,No,7,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),24.35,150.85,No,0,
9795-SHUHB,The Sea Ranch,95497,38.696659,-123.436861,Female,No,Yes,No,66,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),58.2,3810.8,No,0,
9795-NREXC,Stockton,95212,38.049457,-121.21653,Female,No,Yes,No,64,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85,5484.4,No,0,
9793-WECQC,Foresthill,95631,39.031876,-120.811141,Male,No,No,No,23,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.3,2192.9,No,0,
9788-HNGUT,Cabazon,92230,33.929812,-116.76058,Male,No,Yes,No,72,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),116.95,8594.4,No,0,
9787-XVQIU,Sugarloaf,92386,34.243088,-116.830015,Male,No,No,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.3,75.3,Yes,1,Attitude of support person
9786-YWNHU,Fontana,92336,34.136367,-117.460803,Female,No,Yes,Yes,63,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Mailed check,63.55,4014.2,No,0,
9786-IJYDL,Redway,95560,40.142256,-123.852927,Female,No,No,No,35,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,113.2,3914.05,No,0,
9782-LGXMC,Walnut Creek,94598,37.916648,-122.008483,Female,No,Yes,Yes,49,Yes,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),61.75,3024.15,No,0,
9780-FKVVF,Firebaugh,93622,36.785618,-120.625382,Male,No,No,No,6,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),59.15,336.7,No,0,
9779-DPNEJ,Nipton,92364,35.478736,-115.516984,Female,No,Yes,Yes,22,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.15,1790.65,No,0,
9778-OGKQZ,Fresno,93727,36.751489,-119.68072,Male,No,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),92,6782.15,No,0,
9777-WJJPR,Sacramento,95842,38.687367,-121.34848,Male,No,Yes,No,31,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Credit card (automatic),88.65,2683.2,No,0,
9777-IQHWP,Greenfield,93927,36.248708,-121.386617,Male,No,Yes,Yes,64,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Two year,No,Bank transfer (automatic),93.4,5822.3,No,0,
9776-OJUZI,Lost Hills,93249,35.637715,-119.893068,Female,Yes,No,No,65,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),95.45,6223.3,No,0,
9776-CLUJA,Sacramento,95829,38.486502,-121.334051,Female,Yes,Yes,No,51,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,77.5,3807.35,Yes,1,Competitor offered more data
9774-NRNAU,Cabazon,92230,33.929812,-116.76058,Male,Yes,Yes,No,27,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.8,2309.55,No,0,
9773-PEQBZ,Lake Elsinore,92530,33.655421,-117.391751,Male,No,No,No,10,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,79.85,797.25,No,0,
9770-KXGQU,Moreno Valley,92555,33.907361,-117.109972,Female,No,No,No,53,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Mailed check,98.6,5311.85,No,0,
9769-TSBZE,Tupman,93276,35.316263,-119.402559,Female,No,No,Yes,70,Yes,DSL,Yes,Yes,No,Yes,No,No,Two year,No,Electronic check,66,4891.5,No,0,
