week,retailer,sales_kkg,price_kg,type,display
14,grocery,20.78,1.7,organic,0
14,grocery,22.78,1.5,regular,0
15,express,2.56,2.73,mini,1
15,express,3.25,2.1,organic,1
15,express,5.08,1.5,regular,0
15,grocery,25.77,1.5,organic,0
15,grocery,18.94,1.5,regular,0
16,express,2.6,2.47,mini,1
16,express,5.01,1.9,organic,1
16,express,4.96,1.5,regular,0
16,grocery,29.45,1.4,organic,0
16,grocery,20.75,1.5,regular,0
17,express,1.75,2.73,mini,0
17,express,3.45,2.1,organic,0
17,express,5.22,1.5,regular,0
17,grocery,20.51,1.7,organic,0
17,grocery,23.69,1.5,regular,1
18,express,2.53,2.73,mini,1
18,express,3.79,2.1,organic,1
18,express,5.01,1.5,regular,0
18,grocery,21.24,1.7,organic,1
18,grocery,20.51,1.5,regular,0
19,express,1.84,2.73,mini,1
19,express,2.88,2.1,organic,1
19,express,5,1.5,regular,0
19,grocery,17.95,1.7,organic,0
19,grocery,20.69,1.5,regular,0
20,express,1.78,2.73,mini,0
20,express,2.81,2.1,organic,0
20,express,4.46,1.5,regular,1
20,grocery,21.3,1.7,organic,0
20,grocery,22.88,1.4,regular,0
21,express,1.81,2.73,mini,1
21,express,2.96,2.1,organic,1
21,express,4.58,1.5,regular,1
21,grocery,27.32,1.6,organic,0
21,grocery,23.03,1.5,regular,1
22,express,2.38,2.73,mini,1
22,express,3.05,2.1,organic,1
22,express,5.14,1.5,regular,1
22,grocery,26.47,1.5,organic,0
22,grocery,20.59,1.5,regular,0
23,express,3,2.73,mini,0
23,express,2.95,2.1,organic,0
23,express,4.64,1.5,regular,0
23,grocery,23.18,1.7,organic,0
23,grocery,22.29,1.5,regular,0
24,express,2.05,2.73,mini,1
24,express,3.18,2.1,organic,1
24,express,4.48,1.5,regular,0
24,grocery,19.22,1.9,organic,0
24,grocery,21.76,1.4,regular,1
25,express,2,2.73,mini,1
25,express,2.71,2.1,organic,1
25,express,4.3,1.5,regular,0
25,grocery,18.61,1.9,organic,0
25,grocery,19.91,1.5,regular,1
26,express,2.05,2.73,mini,1
26,express,3.67,2.1,organic,1
26,express,4.04,1.5,regular,1
26,grocery,18.99,1.9,organic,1
26,grocery,21.21,1.4,regular,0
27,express,2.32,2.73,mini,1
27,express,3.72,2.1,organic,1
27,express,4.09,1.5,regular,1
27,grocery,15.8,1.9,organic,0
27,grocery,19.84,1.5,regular,1
28,express,1.57,2.73,mini,0
28,express,2.85,2.1,organic,0
28,express,4,1.5,regular,0
28,grocery,15.58,1.9,organic,0
28,grocery,19.43,1.5,regular,1
29,express,1.68,2.73,mini,1
29,express,2.8,2.1,organic,1
29,express,4.05,1.5,regular,1
29,grocery,14.41,1.9,organic,1
29,grocery,20.72,1.5,regular,1
30,express,1.74,2.73,mini,1
30,express,2.17,2.1,organic,1
30,express,3.14,1.5,regular,0
30,grocery,15.58,1.9,organic,0
30,grocery,19.43,1.5,regular,0
31,express,1.39,2.73,mini,0
31,express,2.44,2.1,organic,0
31,express,3.12,1.5,regular,1
31,grocery,19.85,1.9,organic,1
31,grocery,19.24,1.5,regular,0
32,express,2.39,2.73,mini,0
32,express,2.9,2.1,organic,0
32,express,3.56,1.5,regular,1
32,grocery,18,1.9,organic,0
32,grocery,16.2,1.5,regular,0
33,express,1.47,2.73,mini,0
33,express,2.44,2.1,organic,0
33,express,3.57,1.5,regular,0
33,grocery,17.68,1.9,organic,0
33,grocery,16.96,1.5,regular,0
34,express,1.3,2.73,mini,1
34,express,1.93,2.1,organic,1
34,express,3.85,1.5,regular,0
34,grocery,19.04,1.8,organic,1
34,grocery,17.6,1.5,regular,0
35,express,2.1,2.73,mini,1
35,express,3.17,2.1,organic,1
35,express,4.05,1.5,regular,1
35,grocery,16.34,1.9,organic,1
35,grocery,19.57,1.5,regular,1
36,express,1.4,2.73,mini,1
36,express,2.3,2.1,organic,1
36,express,3.78,1.5,regular,0
36,grocery,20.92,1.7,organic,0
36,grocery,18.64,1.5,regular,0
37,express,2.28,2.73,mini,0
37,express,2.64,2.1,organic,0
37,express,4.29,1.5,regular,0
37,grocery,20.14,1.6,organic,1
37,grocery,19.1,1.4,regular,0
38,express,1.83,2.73,mini,0
38,express,2.64,2.1,organic,0
38,express,3.78,1.5,regular,0
38,grocery,19.62,1.9,organic,1
38,grocery,19.24,1.5,regular,1
39,express,3,2.73,mini,0
39,express,2.39,2.1,organic,0
39,express,4.28,1.5,regular,0
39,grocery,19.76,1.9,organic,1
39,grocery,20.29,1.5,regular,1
40,express,1.26,2.73,mini,1
40,express,2.34,2.1,organic,1
40,express,3.92,1.5,regular,0
40,grocery,23.04,1.7,organic,1
40,grocery,21.55,1.5,regular,0
41,express,2.04,2.6,mini,0
41,express,2.78,2,organic,0
41,express,4.06,1.5,regular,1
41,grocery,20.94,1.6,organic,1
41,grocery,19.41,1.5,regular,0
42,express,2.37,2.6,mini,1
42,express,3.29,2,organic,1
42,express,4.21,1.5,regular,1
42,grocery,18.27,1.9,organic,1
42,grocery,20.11,1.5,regular,1
43,express,1.44,2.73,mini,0
43,express,2.71,2.1,organic,0
43,express,4.17,1.5,regular,0
43,grocery,16.84,1.9,organic,1
43,grocery,18.82,1.4,regular,0
44,express,1.91,3.64,mini,1
44,express,3.07,2.8,organic,1
44,express,4.61,1.5,regular,0
44,grocery,17.68,1.9,organic,0
44,grocery,17.64,1.5,regular,0
45,express,1.71,3.64,mini,0
45,express,2.94,2.8,organic,0
45,express,4.32,1.6,regular,0
45,grocery,17.23,1.9,organic,0
45,grocery,21.31,1.5,regular,1
46,express,2.09,3.64,mini,0
46,express,3.23,2.8,organic,0
46,express,4.52,1.6,regular,1
46,grocery,19.02,1.9,organic,0
46,grocery,20.47,1.5,regular,0
47,express,2.63,3.64,mini,1
47,express,4.02,2.8,organic,1
47,express,4.51,1.7,regular,0
47,grocery,20.01,1.9,organic,0
47,grocery,19.98,1.6,regular,1
48,express,2.1,3.64,mini,1
48,express,2.68,2.8,organic,1
48,express,4.64,1.7,regular,0
48,grocery,20.44,1.9,organic,0
48,grocery,20.02,1.7,regular,1
49,express,1,3.64,mini,1
49,express,3.07,2.8,organic,1
49,express,4.6,1.7,regular,0
49,grocery,22.99,1.9,organic,0
49,grocery,20.03,1.7,regular,0
50,express,1.85,3.64,mini,1
50,express,2.27,2.8,organic,1
50,express,4.16,1.7,regular,0
50,grocery,17.45,1.9,organic,1
50,grocery,19.79,1.7,regular,1
51,express,1.52,3.64,mini,1
51,express,2.66,2.8,organic,1
51,express,4.02,1.7,regular,1
51,grocery,17.59,1.9,organic,0
51,grocery,19.67,1.7,regular,0
52,express,1.33,3.64,mini,1
52,express,2,2.8,organic,1
52,express,3.16,1.6,regular,1
52,grocery,14.53,1.9,organic,1
52,grocery,15.09,1.6,regular,0
53,express,1.51,2.21,mini,1
53,express,1.62,1.7,organic,1
53,express,4.52,1,regular,1
53,grocery,11.74,1.7,organic,1
53,grocery,19.45,1.2,regular,1
54,express,1.38,2.21,mini,0
54,express,2.69,1.7,organic,0
54,express,4.77,1,regular,1
54,grocery,17.28,1.5,organic,0
54,grocery,20.18,1.2,regular,1
55,express,1,2.21,mini,0
55,express,1.93,1.7,organic,0
55,express,4.94,1,regular,0
55,grocery,13.66,1.6,organic,0
55,grocery,22.25,1.3,regular,1
56,express,2.09,2.21,mini,0
56,express,2.74,1.7,organic,0
56,express,4.74,1,regular,0
56,grocery,17.03,1.7,organic,1
56,grocery,19.1,1.3,regular,1
57,express,2.34,2.21,mini,1
57,express,3.41,1.7,organic,1
57,express,4.58,1,regular,0
57,grocery,20.12,1.4,organic,0
57,grocery,19.65,1.2,regular,0
58,express,2.47,2.21,mini,1
58,express,3.01,1.7,organic,1
58,express,5.33,1,regular,1
58,grocery,25.93,1.2,organic,1
58,grocery,21.46,1.2,regular,0
59,express,1.49,2.21,mini,1
59,express,2.21,1.7,organic,1
59,express,4.79,1,regular,0
59,grocery,24.03,1.2,organic,1
59,grocery,21.03,1.3,regular,1
60,express,1.3,2.21,mini,1
60,express,2.34,1.7,organic,1
60,express,4.23,1.3,regular,0
60,grocery,20.91,1.2,organic,0
60,grocery,22.14,1.2,regular,1
61,express,1.69,2.21,mini,0
61,express,3.27,1.7,organic,0
61,express,5.05,1.3,regular,0
61,grocery,23.55,1.3,organic,0
61,grocery,20.88,1.2,regular,0
62,express,1.82,2.21,mini,0
62,express,3.08,1.7,organic,0
62,express,4.93,1,regular,1
62,grocery,20.32,1.6,organic,0
62,grocery,20.22,1.2,regular,1
63,express,1.42,2.6,mini,0
63,express,2.53,2,organic,0
63,express,4.78,1.5,regular,1
63,grocery,21.47,1.7,organic,1
63,grocery,20.88,1.2,regular,0
64,express,2.29,2.73,mini,1
64,express,2.7,2.1,organic,1
64,express,4.03,1.5,regular,1
64,grocery,19.9,1.7,organic,0
64,grocery,22.09,1.2,regular,0
65,express,2.33,2.73,mini,0
65,express,3.28,2.1,organic,0
65,express,5.31,1.5,regular,0
65,grocery,16.88,1.7,organic,0
65,grocery,19.2,1.4,regular,1
66,express,2.48,2.73,mini,0
66,express,3.3,2.1,organic,0
66,express,4.69,1.5,regular,0
66,grocery,20.78,1.7,organic,0
66,grocery,22.78,1.5,regular,0
67,express,1.99,2.73,mini,1
67,express,3.25,2.1,organic,1
67,express,5.08,1.5,regular,0
67,grocery,25.77,1.5,organic,0
67,grocery,18.94,1.5,regular,0
68,express,3.39,2.47,mini,1
68,express,5.01,1.9,organic,1
68,express,4.96,1.5,regular,0
68,grocery,29.45,1.4,organic,0
68,grocery,20.75,1.5,regular,0
69,express,2.2,2.73,mini,0
69,express,3.45,2.1,organic,0
69,express,5.22,1.5,regular,0
69,grocery,20.51,1.7,organic,0
69,grocery,23.69,1.5,regular,1
70,express,2.46,2.73,mini,1
70,express,3.79,2.1,organic,1
70,express,5.01,1.5,regular,0
70,grocery,21.24,1.7,organic,1
70,grocery,20.51,1.5,regular,0
71,express,1.7,2.73,mini,1
71,express,2.88,2.1,organic,1
71,express,5,1.5,regular,0
71,grocery,17.95,1.7,organic,0
71,grocery,20.69,1.5,regular,0
72,express,2.24,2.73,mini,0
72,express,2.81,2.1,organic,0
72,express,4.46,1.5,regular,1
72,grocery,21.3,1.7,organic,0
72,grocery,22.88,1.4,regular,0
73,express,1.72,2.73,mini,1
73,express,2.96,2.1,organic,1
73,express,4.58,1.5,regular,1
73,grocery,27.32,1.6,organic,0
73,grocery,23.03,1.5,regular,1
74,express,2.09,2.73,mini,1
74,express,3.05,2.1,organic,1
74,express,5.14,1.5,regular,1
74,grocery,26.47,1.5,organic,0
74,grocery,20.59,1.5,regular,0
75,express,1.48,2.73,mini,0
75,express,2.95,2.1,organic,0
75,express,4.64,1.5,regular,0
75,grocery,23.18,1.7,organic,0
75,grocery,22.29,1.5,regular,0
76,express,1.7,2.73,mini,1
76,express,3.18,2.1,organic,1
76,express,4.48,1.5,regular,0
76,grocery,19.22,1.9,organic,0
76,grocery,21.76,1.4,regular,1
77,express,2.23,2.73,mini,1
77,express,2.71,2.1,organic,1
77,express,4.3,1.5,regular,0
77,grocery,18.61,1.9,organic,0
77,grocery,19.91,1.5,regular,1
78,express,2.32,2.73,mini,1
78,express,3.67,2.1,organic,1
78,express,4.04,1.5,regular,1
78,grocery,18.99,1.9,organic,1
78,grocery,21.21,1.4,regular,0
79,express,2.63,2.73,mini,1
79,express,3.72,2.1,organic,1
79,express,4.09,1.5,regular,1
79,grocery,15.8,1.9,organic,0
79,grocery,19.84,1.5,regular,1
80,express,1.72,2.73,mini,0
80,express,2.85,2.1,organic,0
80,express,4,1.5,regular,0
80,grocery,15.58,1.9,organic,0
80,grocery,19.43,1.5,regular,1
81,express,1.96,2.73,mini,1
81,express,2.8,2.1,organic,1
81,express,4.05,1.5,regular,1
81,grocery,14.41,1.9,organic,1
81,grocery,20.72,1.5,regular,1
82,express,1.36,2.73,mini,1
82,express,2.17,2.1,organic,1
82,express,3.14,1.5,regular,0
82,grocery,15.58,1.9,organic,0
82,grocery,19.43,1.5,regular,0
83,express,2.01,2.73,mini,0
83,express,2.44,2.1,organic,0
83,express,3.12,1.5,regular,1
83,grocery,19.85,1.9,organic,1
83,grocery,19.24,1.5,regular,0
84,express,1.49,2.73,mini,0
84,express,2.9,2.1,organic,0
84,express,3.56,1.5,regular,1
84,grocery,18,1.9,organic,0
84,grocery,16.2,1.5,regular,0
85,express,2.06,2.73,mini,0
85,express,2.44,2.1,organic,0
85,express,3.57,1.5,regular,0
85,grocery,17.68,1.9,organic,0
85,grocery,16.96,1.5,regular,0
86,express,1.8,2.73,mini,1
86,express,1.93,2.1,organic,1
86,express,3.85,1.5,regular,0
86,grocery,19.04,1.8,organic,1
86,grocery,17.6,1.5,regular,0
87,express,2.53,2.73,mini,1
87,express,3.17,2.1,organic,1
87,express,4.05,1.5,regular,1
87,grocery,16.34,1.9,organic,1
87,grocery,19.57,1.5,regular,1
88,express,1.19,2.73,mini,1
88,express,2.3,2.1,organic,1
88,express,3.78,1.5,regular,0
88,grocery,20.92,1.7,organic,0
88,grocery,18.64,1.5,regular,0
89,express,2.11,2.73,mini,0
89,express,2.64,2.1,organic,0
89,express,4.29,1.5,regular,0
89,grocery,20.14,1.6,organic,1
89,grocery,19.1,1.4,regular,0
90,express,1.62,2.73,mini,0
90,express,2.64,2.1,organic,0
90,express,3.78,1.5,regular,0
90,grocery,19.62,1.9,organic,1
90,grocery,19.24,1.5,regular,1
91,express,1.37,2.73,mini,0
91,express,2.39,2.1,organic,0
91,express,4.28,1.5,regular,0
91,grocery,19.76,1.9,organic,1
91,grocery,20.29,1.5,regular,1
92,express,1.95,2.73,mini,1
92,express,2.34,2.1,organic,1
92,express,3.92,1.5,regular,0
92,grocery,23.04,1.7,organic,1
92,grocery,21.55,1.5,regular,0
93,express,2.05,2.6,mini,0
93,express,2.78,2,organic,0
93,express,4.06,1.5,regular,1
93,grocery,20.94,1.6,organic,1
93,grocery,19.41,1.5,regular,0
94,express,2,2.6,mini,1
94,express,3.29,2,organic,1
94,express,4.21,1.5,regular,1
94,grocery,18.27,1.9,organic,1
94,grocery,20.11,1.5,regular,1
95,express,1.55,2.73,mini,0
95,express,2.71,2.1,organic,0
95,express,4.17,1.5,regular,0
95,grocery,16.84,1.9,organic,1
95,grocery,18.82,1.4,regular,0
96,express,1.97,3.64,mini,1
96,express,3.07,2.8,organic,1
96,express,4.61,1.5,regular,0
96,grocery,17.68,1.9,organic,0
96,grocery,17.64,1.5,regular,0
97,express,2.25,3.64,mini,0
97,express,2.94,2.8,organic,0
97,express,4.32,1.6,regular,0
97,grocery,17.23,1.9,organic,0
97,grocery,21.31,1.5,regular,1
98,express,2,3.64,mini,0
98,express,3.23,2.8,organic,0
98,express,4.52,1.6,regular,1
98,grocery,19.02,1.9,organic,0
98,grocery,20.47,1.5,regular,0
99,express,2.79,3.64,mini,1
99,express,4.02,2.8,organic,1
99,express,4.51,1.7,regular,0
99,grocery,20.01,1.9,organic,0
99,grocery,19.98,1.6,regular,1
100,express,1.97,3.64,mini,1
100,express,2.68,2.8,organic,1
100,express,4.64,1.7,regular,0
100,grocery,20.44,1.9,organic,0
100,grocery,20.02,1.7,regular,1
101,express,2.22,3.64,mini,1
101,express,3.07,2.8,organic,1
101,express,4.6,1.7,regular,0
101,grocery,22.99,1.9,organic,0
101,grocery,20.03,1.7,regular,0
102,express,2.07,3.64,mini,1
102,express,2.27,2.8,organic,1
102,express,4.16,1.7,regular,0
102,grocery,17.45,1.9,organic,1
102,grocery,19.79,1.7,regular,1
103,express,2.03,3.64,mini,1
103,express,2.66,2.8,organic,1
103,express,4.02,1.7,regular,1
103,grocery,17.59,1.9,organic,0
103,grocery,19.67,1.7,regular,0
104,express,1.18,3.64,mini,1
104,express,2,2.8,organic,1
104,express,3.16,1.6,regular,1
104,grocery,14.53,1.9,organic,1
104,grocery,15.09,1.6,regular,0
