customer,choice,gender,amount_spent,frequency,last purchase,tenure,p_fiction,p_nonfiction
93,1,1,304,6,1,6,2,1
94,1,1,177,14,1,14,11,1
95,1,1,361,6,6,36,0,4
96,1,1,245,30,1,30,21,1
97,1,1,237,6,4,16,0,4
98,1,1,273,14,5,30,3,3
99,1,1,168,6,2,12,1,1
100,1,1,262,30,1,30,26,0
101,1,1,295,10,1,10,1,1
102,1,1,223,10,1,10,1,4
103,1,1,276,4,1,4,0,0
104,1,1,115,4,2,12,0,4
105,1,1,297,14,2,22,9,0
106,1,1,296,8,6,32,0,7
107,1,1,198,16,5,36,2,7
108,1,1,234,8,5,24,0,6
109,1,1,184,10,10,66,2,5
110,1,1,280,10,8,34,0,7
111,1,1,414,2,8,46,0,6
112,1,1,72,8,2,16,0,4
113,1,1,287,16,1,16,6,3
114,1,1,126,14,2,20,7,5
115,1,1,253,10,1,10,4,1
116,1,1,212,16,5,38,0,6
117,1,1,77,2,2,4,0,5
118,1,1,181,14,1,14,4,3
119,1,1,148,6,4,20,0,6
120,1,1,247,16,2,18,12,0
121,1,1,129,4,1,4,0,3
122,1,1,133,2,8,20,0,2
123,1,1,193,10,2,18,0,5
124,1,1,224,10,10,62,0,5
125,1,1,210,2,6,36,0,2
126,1,1,405,6,12,70,0,8
127,1,1,257,6,2,8,1,2
128,1,1,159,4,7,18,0,2
129,1,1,225,8,2,12,0,3
130,1,1,287,12,2,16,0,3
131,1,1,228,4,2,6,0,4
132,1,1,229,16,1,16,8,0
133,1,1,315,2,2,10,0,2
134,1,1,291,2,1,2,0,1
135,1,1,176,20,3,36,14,2
136,1,1,322,12,12,74,0,6
137,1,1,303,28,2,32,24,1
138,1,1,241,10,2,16,5,0
139,1,1,303,2,2,6,0,1
140,1,1,305,2,2,10,0,2
141,1,1,165,12,8,32,0,4
142,1,1,268,8,4,30,2,2
143,1,1,230,4,1,4,0,4
144,1,1,22,2,1,2,0,1
145,1,1,75,4,4,26,0,1
146,1,1,356,4,6,22,0,4
147,1,1,270,4,4,22,0,3
148,1,1,264,4,12,30,0,6
149,1,1,314,4,2,8,1,1
150,1,1,155,30,6,44,16,6
151,1,1,48,10,1,10,3,3
152,1,1,84,2,2,4,0,1
153,1,1,228,8,1,8,0,4
154,1,1,224,10,4,32,3,2
155,1,1,315,14,4,24,7,1
156,1,1,192,10,1,10,1,4
157,1,1,246,12,11,38,7,4
158,1,1,219,10,6,28,0,6
159,1,1,265,4,2,8,0,5
160,1,1,316,12,3,20,3,4
161,1,1,248,16,8,38,2,7
162,1,1,340,8,3,16,0,2
163,1,1,281,12,2,16,4,2
164,1,1,200,16,2,18,12,3
165,1,1,243,16,2,24,7,1
166,1,1,187,12,2,18,1,4
167,1,1,147,8,2,12,0,4
168,1,1,213,2,2,8,0,1
169,1,1,171,2,2,10,0,4
170,1,1,127,2,4,16,0,2
171,1,1,179,8,5,24,1,5
172,1,1,237,12,1,12,3,1
173,1,1,274,2,1,2,0,4
174,1,1,410,12,11,46,0,11
175,1,1,118,8,2,12,0,1
176,1,1,255,6,11,68,0,7
177,1,1,216,2,2,4,0,4
178,1,1,183,2,1,2,0,0
179,1,1,338,4,12,50,0,4
180,1,1,252,24,1,24,17,3
181,1,1,47,2,3,10,0,2
182,1,1,338,16,5,28,4,5
183,1,1,43,2,2,4,0,1
184,1,1,289,4,6,28,0,4
185,1,1,285,8,1,8,0,3
186,1,1,259,14,7,34,5,7
187,1,1,272,12,1,12,9,0
188,1,1,203,12,1,12,6,4
189,1,1,274,8,1,8,0,1
190,1,1,257,20,6,38,15,4
191,1,1,125,16,2,18,14,0
192,1,1,262,10,1,10,4,1
193,1,1,97,16,6,42,2,6
194,1,1,80,14,1,14,8,1
195,1,1,243,12,9,52,0,8
196,1,1,120,4,2,6,1,2
197,1,1,280,6,11,66,1,2
198,1,1,216,2,1,2,0,0
199,1,1,216,10,1,10,8,0
200,1,1,53,2,1,2,0,4
201,1,1,352,16,7,56,1,5
202,1,1,39,26,1,26,21,3
203,1,1,139,12,2,20,2,3
204,1,1,256,4,2,8,0,4
205,1,1,248,14,1,14,11,1
206,1,1,172,8,2,14,0,4
207,1,1,254,10,2,12,4,2
208,1,1,232,8,8,52,0,2
209,1,1,145,6,3,12,0,4
210,1,1,192,12,1,12,8,1
211,1,1,149,2,5,26,0,4
212,1,1,232,2,5,24,0,0
213,1,1,276,8,2,12,1,1
214,1,1,222,14,2,20,6,4
215,1,1,90,2,3,16,0,5
216,1,1,206,14,1,14,10,3
217,1,1,202,10,6,40,0,6
218,1,1,261,6,11,38,0,8
219,1,1,262,6,12,32,0,10
220,1,1,266,6,2,14,0,2
221,1,1,223,2,3,12,0,4
222,1,1,321,14,2,18,3,5
223,1,1,216,14,5,36,0,4
224,1,1,222,14,9,50,1,6
225,1,1,213,8,1,8,0,3
226,1,1,122,2,3,12,0,4
227,1,1,303,4,2,8,3,0
228,1,1,165,4,2,6,0,5
229,1,1,77,4,2,10,0,3
230,1,1,230,12,2,20,4,4
231,1,1,248,6,2,10,0,3
232,1,1,343,4,4,18,0,1
233,1,1,175,8,3,16,2,3
234,1,1,277,14,7,54,3,4
235,1,1,174,10,1,10,5,1
236,1,1,206,6,1,6,0,1
237,1,1,211,14,2,22,7,2
238,1,1,247,16,5,46,4,2
239,1,1,108,6,2,10,0,1
240,1,1,187,2,1,2,0,0
241,1,1,145,4,1,4,0,0
242,1,1,229,2,2,4,0,1
243,1,1,330,16,5,42,6,3
244,1,1,285,14,1,14,8,0
245,1,1,258,28,7,60,18,3
246,1,1,274,14,2,18,3,1
247,1,1,38,34,1,34,26,0
248,1,1,267,2,4,20,0,2
249,1,1,241,10,1,10,1,1
250,1,1,102,10,2,16,1,2
251,1,1,119,4,3,18,0,1
252,1,1,230,8,2,12,0,1
253,1,1,73,16,2,22,11,1
254,1,1,220,28,7,70,19,3
255,1,1,190,2,2,8,0,2
256,1,1,34,2,1,2,0,1
257,1,1,235,4,2,8,1,2
258,1,1,145,2,1,2,0,1
259,1,1,33,14,1,14,7,1
260,1,1,49,10,1,10,7,0
261,1,1,37,12,2,14,5,1
262,1,1,253,4,1,4,0,1
263,1,1,88,10,2,18,9,0
264,1,1,290,2,2,4,0,1
265,1,1,253,24,1,24,17,1
266,1,1,391,6,10,64,0,8
267,1,1,150,6,5,28,0,3
268,1,1,292,12,7,52,0,4
269,1,1,274,10,5,30,2,3
270,1,1,196,6,2,10,3,1
271,1,1,307,10,2,16,5,2
272,1,1,65,6,1,6,0,0
273,1,1,315,12,10,48,2,5
274,1,1,191,16,8,50,6,3
275,1,1,36,16,1,16,13,1
276,1,1,386,4,11,32,0,4
277,1,1,384,2,7,44,0,6
278,1,1,400,6,11,52,0,9
279,1,1,140,4,2,6,0,0
280,1,1,64,14,2,20,4,2
281,1,1,204,12,2,14,4,1
282,1,1,188,4,5,28,0,4
283,1,1,85,10,1,10,5,0
284,1,1,41,2,1,2,0,1
285,1,1,245,18,4,34,8,1
286,1,1,28,16,1,16,11,0
287,1,1,290,14,2,22,3,1
288,1,1,302,10,5,26,0,3
289,1,1,216,10,1,10,5,0
290,1,1,97,12,1,12,8,1
291,1,1,278,2,1,2,0,1
292,1,1,88,12,2,14,6,1
293,1,1,233,16,4,36,7,1
294,1,1,355,10,10,60,0,6
295,1,1,179,12,2,18,1,1
296,1,1,314,2,1,2,0,0
297,1,1,444,28,10,82,14,6
298,1,1,179,6,1,6,0,0
299,1,1,84,6,1,6,4,0
300,1,1,263,4,6,30,0,4
301,1,1,297,8,3,14,0,1
302,1,1,299,6,5,32,0,2
303,1,1,85,6,4,14,0,3
304,1,1,75,16,1,16,11,0
305,1,1,350,12,4,26,1,3
306,1,1,55,10,1,10,1,1
307,1,1,274,22,1,22,17,0
308,1,1,215,6,11,66,0,7
309,1,1,130,22,2,24,19,0
310,1,1,137,6,2,8,0,1
311,1,1,78,6,2,10,5,0
312,1,1,338,2,5,20,0,3
313,1,1,244,6,5,22,2,1
314,1,1,183,2,1,2,0,1
315,1,1,376,4,10,60,0,6
316,1,1,82,6,3,16,0,1
317,1,1,367,12,12,72,2,4
318,1,0,418,16,8,32,3,6
319,1,0,81,16,1,16,6,1
320,1,0,249,2,2,10,0,2
321,1,0,102,16,3,32,14,1
322,1,1,351,10,9,62,0,5
323,1,0,322,4,2,12,0,1
324,1,0,360,2,10,22,0,5
325,1,1,451,12,11,78,0,6
326,1,1,286,12,2,14,7,1
327,1,1,187,16,3,22,11,2
328,1,0,17,16,1,16,11,0
329,1,0,407,12,12,40,2,6
330,1,1,143,14,1,14,13,0
331,1,1,404,4,11,38,0,5
332,1,0,17,4,1,4,0,0
333,1,0,148,6,9,48,0,4
334,1,0,118,6,2,8,0,0
335,1,1,302,12,2,18,10,1
336,1,1,374,2,10,26,0,3
337,1,0,110,2,2,8,0,2
338,1,0,185,10,10,40,1,6
339,1,1,235,2,2,8,0,0
340,1,1,41,6,1,6,1,1
341,1,0,243,16,1,16,6,1
342,1,0,183,8,1,8,2,1
343,1,1,273,30,9,68,25,2
344,1,1,372,4,12,36,0,7
345,1,1,234,8,8,40,0,3
346,1,1,282,16,6,42,11,2
347,1,0,135,12,1,12,7,0
348,1,1,236,8,1,8,4,0
349,1,0,165,2,1,2,0,0
350,1,1,318,16,2,22,14,1
351,1,1,299,10,2,16,4,1
352,1,0,345,14,6,38,8,3
353,1,1,115,8,7,38,0,4
354,1,0,179,10,1,10,1,1
355,1,1,396,12,9,44,1,3
356,1,0,371,6,11,40,0,5
357,1,0,292,2,1,2,0,0
358,1,1,339,10,6,36,0,2
359,1,1,245,2,1,2,0,0
360,1,0,330,14,12,84,0,9
361,1,0,154,10,1,10,4,1
362,1,0,243,28,1,28,25,0
363,1,1,72,14,2,18,10,1
364,1,1,92,6,1,6,0,0
365,1,1,307,8,1,8,0,0
366,1,0,271,10,1,10,4,1
367,1,1,385,4,9,40,0,6
368,1,1,94,2,6,24,0,3
369,1,0,115,2,3,16,0,1
370,1,1,55,2,3,8,0,1
371,1,0,252,2,2,4,0,2
372,1,0,339,12,11,38,0,4
373,1,1,76,10,1,10,4,1
374,1,1,59,16,1,16,5,1
375,1,0,406,8,10,58,0,6
376,1,1,60,14,4,28,9,2
377,1,0,306,10,1,10,0,1
378,1,1,264,4,2,8,0,2
379,1,1,74,10,2,14,7,1
380,1,0,256,12,1,12,8,1
381,1,1,253,12,1,12,2,1
382,1,0,403,12,8,44,4,4
383,1,1,35,10,2,16,0,2
384,1,0,139,10,9,30,5,3
385,1,0,229,16,2,20,5,1
386,1,1,237,2,2,4,0,2
387,1,1,202,8,11,32,2,4
388,1,0,111,12,2,20,4,0
389,1,1,256,2,11,38,0,4
390,1,1,57,2,2,8,0,2
391,1,1,162,10,1,10,8,1
392,1,1,336,2,10,24,0,2
393,1,1,319,2,2,8,0,2
394,1,0,183,2,1,2,0,0
395,1,0,385,4,10,26,0,4
396,1,0,352,2,6,22,0,3
397,1,1,276,10,2,16,8,0
398,1,1,72,6,4,16,0,3
399,1,1,313,8,1,8,0,0
400,1,0,287,12,4,24,9,1
401,0,1,123,12,1,12,11,0
402,0,1,294,6,2,8,1,1
403,0,1,138,14,9,38,2,6
404,0,1,228,2,1,2,0,0
405,0,1,102,22,2,24,16,0
406,0,0,145,10,8,50,0,5
407,0,0,211,6,1,6,0,1
408,0,1,289,4,5,32,1,2
409,0,0,185,14,6,44,0,5
410,0,1,261,6,1,6,0,0
411,0,1,73,14,4,32,6,1
412,0,1,185,16,2,18,6,2
413,0,1,274,12,2,20,3,1
414,0,1,82,10,1,10,3,0
415,0,1,184,2,2,10,0,1
416,0,1,113,20,1,20,18,0
417,0,0,44,12,2,20,2,2
418,0,1,254,6,3,24,0,3
419,0,1,213,2,1,2,0,1
420,0,1,57,10,2,14,1,2
421,0,1,252,12,1,12,11,0
422,0,1,52,4,2,6,2,0
423,0,1,33,16,2,22,9,1
424,0,1,132,18,2,20,17,0
425,0,0,333,2,4,18,0,2
426,0,1,284,12,1,12,6,0
427,0,1,314,2,1,2,0,1
428,0,1,437,16,11,58,0,6
429,0,1,285,10,6,38,0,5
430,0,1,115,24,1,24,14,1
431,0,0,240,34,8,54,24,2
432,0,1,87,8,4,18,0,4
433,0,1,96,16,1,16,9,1
434,0,1,408,16,10,48,8,5
435,0,0,32,14,1,14,9,1
436,0,1,54,14,3,22,11,1
437,0,1,196,10,2,18,7,0
438,0,1,357,12,12,60,0,6
439,0,0,147,12,1,12,8,0
440,0,1,194,2,2,6,0,2
441,0,1,196,2,12,26,0,3
442,0,0,176,8,1,8,0,1
443,0,1,220,4,1,4,0,1
444,0,1,316,16,6,32,10,2
445,0,0,235,14,1,14,8,0
446,0,1,280,30,2,34,19,1
447,0,1,320,28,3,38,21,3
448,0,1,141,16,2,18,11,2
449,0,1,346,28,12,52,20,7
450,0,1,149,2,1,2,0,0
451,0,1,42,8,2,10,4,0
452,0,0,340,14,4,26,6,1
453,0,1,87,10,1,10,4,0
454,0,1,69,14,2,18,8,0
455,0,1,206,12,1,12,9,1
456,0,1,206,26,1,26,16,1
457,0,1,281,14,12,66,0,5
458,0,1,134,12,4,22,11,0
459,0,0,216,28,2,36,25,2
460,0,1,186,36,2,40,32,2
461,0,0,304,2,1,2,0,1
462,0,0,228,30,2,38,27,1
463,0,1,196,16,4,38,8,2
464,0,0,148,8,1,8,3,1
465,0,1,247,24,2,26,21,1
466,0,1,303,2,2,6,0,1
467,0,1,128,8,1,8,3,0
468,0,1,193,16,1,16,13,1
469,0,1,316,32,2,36,29,1
470,0,0,162,20,1,20,19,0
471,0,1,107,8,1,8,6,0
472,0,0,94,2,2,10,0,2
473,0,1,212,16,1,16,6,0
474,0,1,126,16,8,48,12,3
475,0,0,130,36,2,38,32,2
476,0,1,299,12,3,26,5,1
477,0,1,287,22,2,30,17,2
478,0,1,125,14,2,16,4,1
479,0,1,193,16,2,20,10,1
480,0,1,275,2,1,2,0,1
481,0,1,204,4,4,16,0,2
482,0,1,262,12,2,16,0,2
483,0,1,18,30,1,30,25,1
484,0,0,277,14,1,14,10,1
485,0,1,49,10,2,14,6,1
486,0,1,396,4,9,24,0,3
487,0,1,98,12,1,12,7,1
488,0,1,62,8,1,8,0,1
489,0,1,266,34,2,40,28,1
490,0,1,81,10,1,10,2,0
491,0,1,80,8,2,12,5,1
492,0,1,244,2,2,8,0,1
493,0,0,29,4,1,4,0,0
494,0,1,214,16,2,24,11,0
495,0,1,240,20,1,20,19,0
496,0,1,202,12,2,16,9,2
497,0,0,33,10,2,16,4,2
498,0,1,253,8,3,24,0,1
499,0,0,228,2,8,24,0,6
500,0,1,224,14,2,20,4,1
501,0,0,96,8,1,8,5,1
502,0,1,122,16,1,16,14,0
503,0,1,266,12,6,44,7,3
504,0,1,128,20,6,40,13,2
505,0,1,198,4,4,20,0,3
506,0,0,228,4,8,32,0,5
507,0,0,100,8,1,8,3,0
508,0,1,247,20,4,30,16,1
509,0,0,73,18,1,18,10,0
510,0,1,288,22,1,22,11,1
511,0,1,413,34,9,74,28,4
512,0,1,397,4,11,60,0,5
513,0,1,25,6,1,6,0,1
514,0,1,15,12,1,12,8,0
515,0,0,251,12,7,54,5,5
516,0,1,314,2,2,4,0,1
517,0,0,126,28,1,28,20,0
518,0,1,107,2,2,8,0,1
519,0,1,314,10,1,10,6,1
520,0,0,121,10,1,10,8,1
521,0,1,166,16,1,16,14,1
522,0,1,117,8,5,20,0,2
523,0,1,224,28,2,32,21,2
524,0,1,75,14,1,14,11,0
525,0,1,180,14,1,14,4,1
526,0,0,248,4,5,24,0,2
527,0,1,92,14,1,14,6,0
528,0,1,69,12,1,12,7,0
529,0,0,277,20,1,20,14,0
530,0,1,294,12,5,24,7,3
531,0,0,18,2,1,2,0,1
532,0,0,218,10,2,18,0,1
533,0,1,268,14,2,18,9,1
534,0,0,324,14,2,20,3,2
535,0,0,168,12,1,12,3,1
536,0,0,316,14,4,34,3,1
537,0,0,174,12,11,48,7,4
538,0,1,71,14,2,20,6,0
539,0,1,202,10,1,10,8,0
540,0,1,30,10,1,10,1,1
541,0,1,129,10,1,10,8,0
542,0,1,205,4,2,6,0,1
543,0,1,215,16,6,34,5,4
544,0,1,189,8,4,18,0,3
545,0,1,285,22,1,22,13,1
546,0,1,288,4,1,4,0,1
547,0,1,209,4,1,4,0,0
548,0,1,301,14,4,34,5,3
549,0,1,35,18,2,22,11,1
550,0,1,244,16,2,20,12,1
551,0,1,334,8,9,28,2,5
552,0,1,140,16,2,24,11,1
553,0,0,162,10,6,22,3,4
554,0,0,163,14,1,14,9,0
555,0,1,216,14,2,20,11,1
556,0,1,264,16,1,16,14,0
557,0,0,111,12,2,16,2,1
558,0,0,235,18,1,18,14,1
559,0,1,117,16,7,54,7,2
560,0,1,135,16,3,26,11,1
561,0,1,131,16,1,16,6,1
562,0,1,235,2,1,2,0,0
563,0,1,118,12,1,12,7,1
564,0,1,327,4,9,38,0,6
565,0,1,237,16,2,20,7,1
566,0,1,151,10,3,24,6,1
567,0,1,84,16,2,24,6,1
568,0,0,180,4,1,4,2,1
569,0,1,79,10,2,14,0,2
570,0,1,201,12,3,28,5,1
571,0,0,331,26,7,42,19,3
572,0,1,292,12,5,30,6,1
573,0,1,285,12,11,76,1,5
574,0,0,300,34,1,34,31,0
575,0,1,175,12,1,12,7,0
576,0,0,354,6,10,56,0,6
577,0,1,210,12,1,12,7,1
578,0,1,163,2,1,2,0,0
579,0,1,57,26,1,26,22,0
580,0,1,263,8,2,14,5,2
581,0,1,118,16,6,46,3,3
582,0,0,149,6,2,12,4,1
583,0,1,263,12,10,36,0,7
584,0,1,88,12,1,12,4,1
585,0,1,107,16,1,16,11,1
586,0,0,345,6,6,30,0,1
587,0,1,323,8,2,12,7,0
588,0,1,125,14,1,14,8,1
589,0,1,168,10,2,18,0,0
590,0,1,76,12,2,20,2,1
591,0,1,257,16,1,16,10,0
592,0,1,314,6,1,6,2,0
593,0,1,126,14,2,16,6,1
594,0,1,139,30,1,30,26,1
595,0,1,152,30,3,40,20,3
596,0,0,103,18,1,18,11,1
597,0,1,135,2,2,6,0,0
598,0,1,60,14,2,22,4,2
599,0,0,390,8,9,38,0,4
600,0,1,236,12,2,18,2,1
601,0,1,245,24,5,46,20,2
602,0,0,327,16,2,24,12,1
603,0,0,148,16,4,38,13,1
604,0,1,162,16,4,24,10,4
605,0,0,254,10,1,10,5,1
606,0,1,186,10,1,10,8,1
607,0,1,218,12,2,16,8,1
608,0,1,133,6,4,18,3,2
609,0,0,184,14,1,14,8,0
610,0,1,249,12,1,12,2,0
611,0,0,193,28,1,28,21,0
612,0,0,88,14,2,22,5,2
613,0,1,225,26,10,84,17,2
614,0,1,256,14,1,14,12,0
615,0,1,55,6,2,8,0,1
616,0,0,229,14,10,62,1,4
617,0,1,132,6,2,10,0,1
618,0,0,133,22,2,26,17,0
619,0,0,77,12,1,12,7,0
620,0,1,161,22,9,58,12,2
621,0,1,114,10,2,14,0,1
622,0,1,232,20,1,20,14,1
623,0,0,135,4,2,8,0,0
624,0,1,30,4,1,4,0,1
625,0,0,246,8,2,16,0,1
626,0,0,271,12,2,14,3,1
627,0,1,153,10,1,10,8,0
628,0,1,171,24,7,58,13,3
629,0,1,228,12,1,12,7,1
630,0,0,24,8,1,8,4,0
631,0,1,185,6,1,6,0,0
632,0,1,84,14,1,14,12,0
633,0,1,84,16,1,16,8,0
634,0,1,248,36,2,40,27,2
635,0,0,164,12,3,24,4,2
636,0,0,281,6,4,16,1,2
637,0,1,46,10,2,16,0,2
638,0,1,136,22,1,22,12,1
639,0,1,317,10,2,16,2,2
640,0,1,166,10,1,10,0,0
641,0,1,226,2,1,2,0,1
642,0,0,123,4,2,10,0,0
643,0,0,39,12,2,16,1,1
644,0,1,294,2,1,2,0,0
645,0,0,473,30,12,66,14,6
646,0,1,302,4,2,8,0,0
647,0,1,170,12,1,12,9,1
648,0,1,288,20,1,20,14,0
649,0,0,51,2,2,8,0,2
650,0,0,388,14,10,54,11,2
651,0,1,67,10,2,14,8,1
652,0,1,62,8,1,8,5,1
653,0,0,60,14,4,32,9,2
654,0,1,132,18,1,18,8,0
655,0,1,107,18,1,18,8,1
656,0,1,175,8,1,8,1,0
657,0,0,184,4,2,6,0,2
658,0,1,113,12,1,12,2,1
659,0,1,163,10,2,12,5,1
660,0,1,300,14,7,46,6,4
661,0,1,194,14,2,22,10,2
662,0,1,237,12,1,12,7,0
663,0,1,328,6,4,16,0,3
664,0,0,286,14,2,18,6,1
665,0,1,68,16,1,16,7,1
666,0,1,247,12,2,18,6,1
667,0,0,46,12,2,16,5,1
668,0,0,163,6,3,22,0,1
669,0,1,309,10,2,18,6,2
670,0,1,299,14,2,18,12,1
671,0,1,275,14,1,14,4,0
672,0,1,268,12,2,18,3,1
673,0,1,345,10,8,44,4,4
674,0,0,282,14,2,18,3,2
675,0,1,340,12,6,30,8,1
676,0,1,91,10,5,26,1,2
677,0,1,434,34,11,66,19,5
678,0,0,232,14,4,30,7,1
679,0,1,242,24,6,58,16,4
680,0,0,278,4,2,10,2,0
681,0,0,34,10,2,16,7,1
682,0,1,239,12,8,58,6,4
683,0,1,329,14,3,24,1,3
684,0,1,263,10,1,10,5,0
685,0,0,138,14,5,30,9,1
686,0,1,364,16,8,60,10,4
687,0,0,192,34,2,40,31,0
688,0,1,180,14,2,18,12,1
689,0,0,258,8,10,44,0,5
690,0,1,260,20,2,22,15,2
691,0,1,124,16,2,22,8,0
692,0,1,167,18,5,32,12,4
693,0,1,75,14,2,22,4,1
694,0,1,266,2,1,2,0,1
695,0,0,243,4,1,4,3,0
696,0,0,40,22,1,22,20,1
697,0,0,273,8,3,16,4,2
698,0,1,88,8,3,16,5,1
699,0,0,33,2,2,4,0,0
700,0,1,16,12,1,12,10,1
701,0,1,123,10,1,10,9,0
702,0,1,286,18,8,40,4,4
703,0,1,217,2,1,2,0,0
704,0,1,207,8,1,8,7,0
705,0,1,267,26,2,28,23,0
706,0,1,192,34,6,52,19,6
707,0,0,44,2,2,10,0,2
708,0,1,208,16,2,20,12,1
709,0,0,211,32,1,32,26,0
710,0,1,237,10,2,16,3,1
711,0,0,236,14,1,14,5,0
712,0,1,115,12,1,12,8,0
713,0,1,218,14,8,48,8,5
714,0,1,138,8,1,8,3,0
715,0,0,191,6,10,56,0,6
716,0,0,123,8,1,8,2,1
717,0,1,261,6,10,54,0,6
718,0,1,185,8,2,12,6,0
719,0,1,320,16,5,42,7,3
720,0,0,213,4,4,22,0,1
721,0,0,199,10,1,10,8,0
722,0,1,167,4,11,58,0,5
723,0,1,82,4,1,4,0,1
724,0,1,404,18,7,38,3,5
725,0,0,155,10,8,44,0,6
726,0,0,215,16,1,16,9,0
727,0,0,26,32,1,32,23,1
728,0,1,59,8,1,8,0,1
729,0,1,121,8,2,12,6,0
730,0,1,300,14,1,14,12,1
731,0,0,191,20,1,20,18,0
732,0,1,124,12,1,12,7,0
733,0,1,78,12,1,12,10,1
734,0,1,168,4,1,4,0,0
735,0,1,41,12,2,18,9,0
736,0,1,130,10,1,10,1,1
737,0,1,235,14,1,14,5,0
738,0,1,241,22,1,22,17,1
739,0,1,295,8,2,14,4,1
740,0,0,321,16,10,46,8,4
741,0,0,326,22,4,38,16,1
742,0,1,34,10,2,12,0,1
743,0,0,130,14,2,22,12,1
744,0,1,195,12,2,16,4,1
745,0,1,230,2,1,2,0,0
746,0,0,210,34,1,34,29,1
747,0,0,405,14,9,50,5,4
748,0,1,143,10,1,10,7,0
749,0,1,141,24,2,28,14,0
750,0,1,297,12,1,12,8,1
751,0,1,119,10,5,26,4,2
752,0,0,115,16,2,20,5,1
753,0,1,153,32,2,38,28,1
754,0,0,142,12,1,12,7,1
755,0,0,224,16,2,18,8,1
756,0,0,98,12,3,22,6,2
757,0,1,393,14,12,78,1,8
758,0,1,206,18,4,36,11,2
759,0,1,219,12,6,34,8,2
760,0,1,219,34,8,78,25,6
761,0,1,325,4,10,56,0,7
762,0,0,191,12,1,12,5,0
763,0,0,81,10,2,12,0,1
764,0,1,320,10,2,18,3,0
765,0,1,281,30,1,30,20,1
766,0,1,247,4,1,4,0,1
767,0,0,303,14,3,28,6,2
768,0,1,204,4,1,4,3,0
769,0,1,247,14,2,18,7,2
770,0,1,305,14,8,56,2,6
771,0,1,32,12,1,12,7,1
772,0,1,30,14,1,14,10,0
773,0,1,41,14,1,14,8,0
